field_order,field_name,data_type,feature_group,source_table,time_scope,business_definition,calculation_rule,model_use_recommendation,leakage_status
117,category_unique_users_7d,BIGINT,品类多时间窗口特征,category_time_features,近7天,近7天的不同用户数量，用于刻画品类多时间窗口特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
118,category_unique_items_7d,BIGINT,品类多时间窗口特征,category_time_features,近7天,近7天的不同商品数量，用于刻画品类多时间窗口特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
119,category_unique_buyers_7d,BIGINT,品类多时间窗口特征,category_time_features,近7天,近7天的不同购买用户数量，用于刻画品类多时间窗口特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
120,category_purchase_action_pct_7d,DOUBLE,品类多时间窗口特征,category_time_features,近7天,近7天的购买行为次数占比，用于刻画品类多时间窗口特征。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
121,category_high_intent_action_pct_7d,DOUBLE,品类多时间窗口特征,category_time_features,近7天,近7天的高意向行为次数占比，用于刻画品类多时间窗口特征。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
122,category_total_actions_14d,BIGINT,品类多时间窗口特征,category_time_features,近14天,近14天的行为总次数，用于刻画品类多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
123,category_view_count_14d,BIGINT,品类多时间窗口特征,category_time_features,近14天,近14天的浏览行为次数，用于刻画品类多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
124,category_favorite_count_14d,BIGINT,品类多时间窗口特征,category_time_features,近14天,近14天的收藏行为次数，用于刻画品类多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
125,category_cart_count_14d,BIGINT,品类多时间窗口特征,category_time_features,近14天,近14天的加购行为次数，用于刻画品类多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
126,category_purchase_count_14d,BIGINT,品类多时间窗口特征,category_time_features,近14天,近14天的购买行为次数，用于刻画品类多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
127,category_unique_users_14d,BIGINT,品类多时间窗口特征,category_time_features,近14天,近14天的不同用户数量，用于刻画品类多时间窗口特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
128,category_unique_items_14d,BIGINT,品类多时间窗口特征,category_time_features,近14天,近14天的不同商品数量，用于刻画品类多时间窗口特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
129,category_unique_buyers_14d,BIGINT,品类多时间窗口特征,category_time_features,近14天,近14天的不同购买用户数量，用于刻画品类多时间窗口特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
130,category_purchase_action_pct_14d,DOUBLE,品类多时间窗口特征,category_time_features,近14天,近14天的购买行为次数占比，用于刻画品类多时间窗口特征。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
131,category_high_intent_action_pct_14d,DOUBLE,品类多时间窗口特征,category_time_features,近14天,近14天的高意向行为次数占比，用于刻画品类多时间窗口特征。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
132,category_total_actions_30d,BIGINT,品类多时间窗口特征,category_time_features,近30天,近30天的行为总次数，用于刻画品类多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
133,category_view_count_30d,BIGINT,品类多时间窗口特征,category_time_features,近30天,近30天的浏览行为次数，用于刻画品类多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
134,category_favorite_count_30d,BIGINT,品类多时间窗口特征,category_time_features,近30天,近30天的收藏行为次数，用于刻画品类多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
135,category_cart_count_30d,BIGINT,品类多时间窗口特征,category_time_features,近30天,近30天的加购行为次数，用于刻画品类多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
136,category_purchase_count_30d,BIGINT,品类多时间窗口特征,category_time_features,近30天,近30天的购买行为次数，用于刻画品类多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
137,category_unique_users_30d,BIGINT,品类多时间窗口特征,category_time_features,近30天,近30天的不同用户数量，用于刻画品类多时间窗口特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
138,category_unique_items_30d,BIGINT,品类多时间窗口特征,category_time_features,近30天,近30天的不同商品数量，用于刻画品类多时间窗口特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
139,category_unique_buyers_30d,BIGINT,品类多时间窗口特征,category_time_features,近30天,近30天的不同购买用户数量，用于刻画品类多时间窗口特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
140,category_purchase_action_pct_30d,DOUBLE,品类多时间窗口特征,category_time_features,近30天,近30天的购买行为次数占比，用于刻画品类多时间窗口特征。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
141,category_high_intent_action_pct_30d,DOUBLE,品类多时间窗口特征,category_time_features,近30天,近30天的高意向行为次数占比，用于刻画品类多时间窗口特征。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
142,user_category_first_action_time,TIMESTAMP,用户—品类偏好特征,user_category_features,完整观察期,完整观察期的首次行为时间，用于刻画用户—品类偏好特征。,按对应主键取MIN(time),建议使用对应间隔特征，原始时间字段可剔除,通过：仅使用特征截止时间之前的数据
143,user_category_last_action_time,TIMESTAMP,用户—品类偏好特征,user_category_features,完整观察期,完整观察期的最近行为时间，用于刻画用户—品类偏好特征。,按对应主键取MAX(time),建议使用对应间隔特征，原始时间字段可剔除,通过：仅使用特征截止时间之前的数据
144,user_category_recency_hours,BIGINT,用户—品类偏好特征,user_category_features,完整观察期,完整观察期的距特征截止时间的小时数，用于刻画用户—品类偏好特征。,特征截止时间与最近行为时间的小时差,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
145,user_category_total_actions_1d,BIGINT,用户—品类偏好特征,user_category_features,近1天,近1天的行为总次数，用于刻画用户—品类偏好特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
146,user_category_view_count_1d,BIGINT,用户—品类偏好特征,user_category_features,近1天,近1天的浏览行为次数，用于刻画用户—品类偏好特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
147,user_category_favorite_count_1d,BIGINT,用户—品类偏好特征,user_category_features,近1天,近1天的收藏行为次数，用于刻画用户—品类偏好特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
148,user_category_cart_count_1d,BIGINT,用户—品类偏好特征,user_category_features,近1天,近1天的加购行为次数，用于刻画用户—品类偏好特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
149,user_category_purchase_count_1d,BIGINT,用户—品类偏好特征,user_category_features,近1天,近1天的购买行为次数，用于刻画用户—品类偏好特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
150,user_category_unique_items_1d,BIGINT,用户—品类偏好特征,user_category_features,近1天,近1天的不同商品数量，用于刻画用户—品类偏好特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
151,user_category_total_actions_7d,BIGINT,用户—品类偏好特征,user_category_features,近7天,近7天的行为总次数，用于刻画用户—品类偏好特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
152,user_category_view_count_7d,BIGINT,用户—品类偏好特征,user_category_features,近7天,近7天的浏览行为次数，用于刻画用户—品类偏好特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
153,user_category_favorite_count_7d,BIGINT,用户—品类偏好特征,user_category_features,近7天,近7天的收藏行为次数，用于刻画用户—品类偏好特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
154,user_category_cart_count_7d,BIGINT,用户—品类偏好特征,user_category_features,近7天,近7天的加购行为次数，用于刻画用户—品类偏好特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
155,user_category_purchase_count_7d,BIGINT,用户—品类偏好特征,user_category_features,近7天,近7天的购买行为次数，用于刻画用户—品类偏好特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
156,user_category_unique_items_7d,BIGINT,用户—品类偏好特征,user_category_features,近7天,近7天的不同商品数量，用于刻画用户—品类偏好特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
157,user_category_total_actions_30d,BIGINT,用户—品类偏好特征,user_category_features,近30天,近30天的行为总次数，用于刻画用户—品类偏好特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
158,user_category_view_count_30d,BIGINT,用户—品类偏好特征,user_category_features,近30天,近30天的浏览行为次数，用于刻画用户—品类偏好特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
159,user_category_favorite_count_30d,BIGINT,用户—品类偏好特征,user_category_features,近30天,近30天的收藏行为次数，用于刻画用户—品类偏好特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
160,user_category_cart_count_30d,BIGINT,用户—品类偏好特征,user_category_features,近30天,近30天的加购行为次数，用于刻画用户—品类偏好特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
161,user_category_purchase_count_30d,BIGINT,用户—品类偏好特征,user_category_features,近30天,近30天的购买行为次数，用于刻画用户—品类偏好特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
162,user_category_unique_items_30d,BIGINT,用户—品类偏好特征,user_category_features,近30天,近30天的不同商品数量，用于刻画用户—品类偏好特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
163,user_category_action_share_1d,DOUBLE,用户—品类偏好特征,user_category_features,近1天,近1天的该维度行为占用户全部行为的比例，用于刻画用户—品类偏好特征。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
164,user_category_action_share_7d,DOUBLE,用户—品类偏好特征,user_category_features,近7天,近7天的该维度行为占用户全部行为的比例，用于刻画用户—品类偏好特征。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
165,user_category_action_share_30d,DOUBLE,用户—品类偏好特征,user_category_features,近30天,近30天的该维度行为占用户全部行为的比例，用于刻画用户—品类偏好特征。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
166,user_category_preference_rank,BIGINT,用户—品类偏好特征,user_category_features,完整观察期,完整观察期的用户品类偏好排名，用于刻画用户—品类偏好特征。,由user_category_features按既定口径生成,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
167,pair_first_action_time,TIMESTAMP,用户—商品交互特征,user_item_time_features,完整观察期,完整观察期的首次行为时间，用于刻画用户—商品交互特征。,按对应主键取MIN(time),建议使用对应间隔特征，原始时间字段可剔除,通过：仅使用特征截止时间之前的数据
168,pair_last_action_time,TIMESTAMP,用户—商品交互特征,user_item_time_features,完整观察期,完整观察期的最近行为时间，用于刻画用户—商品交互特征。,按对应主键取MAX(time),建议使用对应间隔特征，原始时间字段可剔除,通过：仅使用特征截止时间之前的数据
169,pair_recency_hours,BIGINT,用户—商品交互特征,user_item_time_features,完整观察期,完整观察期的距特征截止时间的小时数，用于刻画用户—商品交互特征。,特征截止时间与最近行为时间的小时差,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
170,pair_total_actions_1d,BIGINT,用户—商品交互特征,user_item_time_features,近1天,近1天的行为总次数，用于刻画用户—商品交互特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
171,pair_view_count_1d,BIGINT,用户—商品交互特征,user_item_time_features,近1天,近1天的浏览行为次数，用于刻画用户—商品交互特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
172,pair_favorite_count_1d,BIGINT,用户—商品交互特征,user_item_time_features,近1天,近1天的收藏行为次数，用于刻画用户—商品交互特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
173,pair_cart_count_1d,BIGINT,用户—商品交互特征,user_item_time_features,近1天,近1天的加购行为次数，用于刻画用户—商品交互特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
174,pair_purchase_count_1d,BIGINT,用户—商品交互特征,user_item_time_features,近1天,近1天的购买行为次数，用于刻画用户—商品交互特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
175,pair_total_actions_3d,BIGINT,用户—商品交互特征,user_item_time_features,近3天,近3天的行为总次数，用于刻画用户—商品交互特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
176,pair_view_count_3d,BIGINT,用户—商品交互特征,user_item_time_features,近3天,近3天的浏览行为次数，用于刻画用户—商品交互特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
177,pair_favorite_count_3d,BIGINT,用户—商品交互特征,user_item_time_features,近3天,近3天的收藏行为次数，用于刻画用户—商品交互特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
178,pair_cart_count_3d,BIGINT,用户—商品交互特征,user_item_time_features,近3天,近3天的加购行为次数，用于刻画用户—商品交互特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
179,pair_purchase_count_3d,BIGINT,用户—商品交互特征,user_item_time_features,近3天,近3天的购买行为次数，用于刻画用户—商品交互特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
180,pair_total_actions_7d,BIGINT,用户—商品交互特征,user_item_time_features,近7天,近7天的行为总次数，用于刻画用户—商品交互特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
181,pair_view_count_7d,BIGINT,用户—商品交互特征,user_item_time_features,近7天,近7天的浏览行为次数，用于刻画用户—商品交互特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
182,pair_favorite_count_7d,BIGINT,用户—商品交互特征,user_item_time_features,近7天,近7天的收藏行为次数，用于刻画用户—商品交互特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
183,pair_cart_count_7d,BIGINT,用户—商品交互特征,user_item_time_features,近7天,近7天的加购行为次数，用于刻画用户—商品交互特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
184,pair_purchase_count_7d,BIGINT,用户—商品交互特征,user_item_time_features,近7天,近7天的购买行为次数，用于刻画用户—商品交互特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
185,pair_total_actions_14d,BIGINT,用户—商品交互特征,user_item_time_features,近14天,近14天的行为总次数，用于刻画用户—商品交互特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
186,pair_view_count_14d,BIGINT,用户—商品交互特征,user_item_time_features,近14天,近14天的浏览行为次数，用于刻画用户—商品交互特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
187,pair_favorite_count_14d,BIGINT,用户—商品交互特征,user_item_time_features,近14天,近14天的收藏行为次数，用于刻画用户—商品交互特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
188,pair_cart_count_14d,BIGINT,用户—商品交互特征,user_item_time_features,近14天,近14天的加购行为次数，用于刻画用户—商品交互特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
189,pair_purchase_count_14d,BIGINT,用户—商品交互特征,user_item_time_features,近14天,近14天的购买行为次数，用于刻画用户—商品交互特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
190,pair_total_actions_30d,BIGINT,用户—商品交互特征,user_item_time_features,近30天,近30天的行为总次数，用于刻画用户—商品交互特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
191,pair_view_count_30d,BIGINT,用户—商品交互特征,user_item_time_features,近30天,近30天的浏览行为次数，用于刻画用户—商品交互特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
192,pair_favorite_count_30d,BIGINT,用户—商品交互特征,user_item_time_features,近30天,近30天的收藏行为次数，用于刻画用户—商品交互特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
193,pair_cart_count_30d,BIGINT,用户—商品交互特征,user_item_time_features,近30天,近30天的加购行为次数，用于刻画用户—商品交互特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
194,pair_purchase_count_30d,BIGINT,用户—商品交互特征,user_item_time_features,近30天,近30天的购买行为次数，用于刻画用户—商品交互特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
195,pair_active_days_7d,BIGINT,用户—商品交互特征,user_item_time_features,近7天,近7天的活跃天数，用于刻画用户—商品交互特征。,由user_item_time_features按既定口径生成,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
196,pair_active_days_30d,BIGINT,用户—商品交互特征,user_item_time_features,近30天,近30天的活跃天数，用于刻画用户—商品交互特征。,由user_item_time_features按既定口径生成,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
197,pair_active_hours_7d,BIGINT,用户—商品交互特征,user_item_time_features,近7天,近7天的活跃小时数量，用于刻画用户—商品交互特征。,由user_item_time_features按既定口径生成,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
198,pair_active_hours_30d,BIGINT,用户—商品交互特征,user_item_time_features,近30天,近30天的活跃小时数量，用于刻画用户—商品交互特征。,由user_item_time_features按既定口径生成,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
199,pair_repeat_view_count_30d,BIGINT,用户—商品交互特征,user_item_time_features,近30天,近30天的浏览行为次数，用于刻画用户—商品交互特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
200,pair_high_intent_action_pct_7d,DOUBLE,用户—商品交互特征,user_item_time_features,近7天,近7天的高意向行为次数占比，用于刻画用户—商品交互特征。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
201,pair_high_intent_action_pct_30d,DOUBLE,用户—商品交互特征,user_item_time_features,近30天,近30天的高意向行为次数占比，用于刻画用户—商品交互特征。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
202,user_max_consecutive_active_days_30d,BIGINT,用户生命周期特征,user_lifecycle_features,近30天,用户近30天内最长连续活跃天数。,由user_lifecycle_features按既定口径生成,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
203,user_current_consecutive_active_days,BIGINT,用户生命周期特征,user_lifecycle_features,完整观察期,截至特征截止日前，用户当前连续活跃天数。,由user_lifecycle_features按既定口径生成,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
204,user_active_streak_count_30d,BIGINT,用户生命周期特征,user_lifecycle_features,近30天,用户近30天内形成的连续活跃区间数量。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
205,user_avg_active_streak_days_30d,DOUBLE,用户生命周期特征,user_lifecycle_features,近30天,用户近30天连续活跃区间的平均长度。,由user_lifecycle_features按既定口径生成,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
206,item_active_span_days_30d,BIGINT,商品热度衰减特征,item_lifecycle_features,近30天,来源于商品热度衰减特征的数值或类别特征，具体口径由字段名称及源表定义。,由item_lifecycle_features按既定口径生成,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
207,item_weighted_heat_30d,"DECIMAL(38,1)",商品热度衰减特征,item_lifecycle_features,近30天,来源于商品热度衰减特征的数值或类别特征，具体口径由字段名称及源表定义。,由item_lifecycle_features按既定口径生成,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
208,item_weighted_heat_7d,"DECIMAL(38,1)",商品热度衰减特征,item_lifecycle_features,近7天,来源于商品热度衰减特征的数值或类别特征，具体口径由字段名称及源表定义。,由item_lifecycle_features按既定口径生成,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
209,item_weighted_heat_prior_23d,"DECIMAL(38,1)",商品热度衰减特征,item_lifecycle_features,完整观察期,来源于商品热度衰减特征的数值或类别特征，具体口径由字段名称及源表定义。,由item_lifecycle_features按既定口径生成,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
210,item_decayed_heat_score_7d,DOUBLE,商品热度衰减特征,item_lifecycle_features,近7天,采用7天半衰期计算的商品时间衰减热度。,由item_lifecycle_features按既定口径生成,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
211,item_heat_decay_coefficient_7d,DOUBLE,商品热度衰减特征,item_lifecycle_features,近7天,商品7天半衰期衰减热度与原始加权热度的比值。,7天半衰期衰减加权热度 / 30天原始加权热度,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
212,item_recent_heat_share_pct_7d,DOUBLE,商品热度衰减特征,item_lifecycle_features,近7天,商品最近7天加权热度占30天加权热度的比例。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
213,item_heat_trend_ratio_7d_vs_prior_23d,DOUBLE,商品热度衰减特征,item_lifecycle_features,近7天,商品最近7天日均热度与此前23天日均热度之比。,由item_lifecycle_features按既定口径生成,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
214,pair_raw_action_count,DOUBLE,行为序列与跳转特征,user_item_sequence_features,完整观察期,行为序列与跳转特征中的聚合计数指标。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
215,pair_distinct_active_hours,BIGINT,行为序列与跳转特征,user_item_sequence_features,完整观察期,完整观察期的活跃小时数量，用于刻画行为序列与跳转特征。,由user_item_sequence_features按既定口径生成,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
216,pair_sequence_first_time,TIMESTAMP,行为序列与跳转特征,user_item_sequence_features,完整观察期,来源于行为序列与跳转特征的数值或类别特征，具体口径由字段名称及源表定义。,按对应主键取MIN(time),建议使用对应间隔特征，原始时间字段可剔除,通过：仅使用特征截止时间之前的数据
217,pair_sequence_last_time,TIMESTAMP,行为序列与跳转特征,user_item_sequence_features,完整观察期,来源于行为序列与跳转特征的数值或类别特征，具体口径由字段名称及源表定义。,按对应主键取MAX(time),建议使用对应间隔特征，原始时间字段可剔除,通过：仅使用特征截止时间之前的数据
218,pair_first_to_last_span_hours,BIGINT,行为序列与跳转特征,user_item_sequence_features,完整观察期,来源于行为序列与跳转特征的数值或类别特征，具体口径由字段名称及源表定义。,按对应主键取MIN(time),可作为候选模型特征,通过：仅使用特征截止时间之前的数据
219,pair_first_behavior_stage,UTINYINT,行为序列与跳转特征,user_item_sequence_features,完整观察期,来源于行为序列与跳转特征的数值或类别特征，具体口径由字段名称及源表定义。,按对应主键取MIN(time),可作为候选模型特征,通过：仅使用特征截止时间之前的数据
220,pair_last_behavior_stage,UTINYINT,行为序列与跳转特征,user_item_sequence_features,完整观察期,来源于行为序列与跳转特征的数值或类别特征，具体口径由字段名称及源表定义。,按对应主键取MAX(time),可作为候选模型特征,通过：仅使用特征截止时间之前的数据
221,pair_avg_gap_hours,DOUBLE,行为序列与跳转特征,user_item_sequence_features,完整观察期,用户对同一商品在不同活跃小时之间的平均时间间隔。,由user_item_sequence_features按既定口径生成,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
222,pair_median_gap_hours,DOUBLE,行为序列与跳转特征,user_item_sequence_features,完整观察期,用户对同一商品在不同活跃小时之间的中位时间间隔。,由user_item_sequence_features按既定口径生成,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
223,pair_min_gap_hours,BIGINT,行为序列与跳转特征,user_item_sequence_features,完整观察期,来源于行为序列与跳转特征的数值或类别特征，具体口径由字段名称及源表定义。,由user_item_sequence_features按既定口径生成,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
224,pair_max_gap_hours,BIGINT,行为序列与跳转特征,user_item_sequence_features,完整观察期,来源于行为序列与跳转特征的数值或类别特征，具体口径由字段名称及源表定义。,由user_item_sequence_features按既定口径生成,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
225,pair_last_gap_hours,BIGINT,行为序列与跳转特征,user_item_sequence_features,完整观察期,来源于行为序列与跳转特征的数值或类别特征，具体口径由字段名称及源表定义。,按对应主键取MAX(time),可作为候选模型特征,通过：仅使用特征截止时间之前的数据
226,pair_same_stage_transition_count,DOUBLE,行为序列与跳转特征,user_item_sequence_features,完整观察期,用户—商品行为序列中相同行为阶段重复的次数。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
227,pair_forward_stage_transition_count,DOUBLE,行为序列与跳转特征,user_item_sequence_features,完整观察期,用户—商品行为序列中意向阶段正向提升的次数。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
228,pair_reverse_stage_transition_count,DOUBLE,行为序列与跳转特征,user_item_sequence_features,完整观察期,用户—商品行为序列中意向阶段反向跳转的次数。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
229,pair_view_to_favorite_count,DOUBLE,行为序列与跳转特征,user_item_sequence_features,完整观察期,完整观察期的收藏行为次数，用于刻画行为序列与跳转特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
